state,filling_status,income_limit,rate,tax_previous_bracket
MD,married_filing_jointly,225000,0.055,10947.5
MD,married_filing_jointly,175000,0.0525,8322.5
MD,married_filing_jointly,150000,0.05,7072.5
MD,married_filing_jointly,3000,0.0475,90.0
MD,married_filing_jointly,2000,0.04,50.0
MD,married_filing_jointly,1000,0.03,20.0
MD,married_filing_jointly,0,0.02,0.0
MD,single_filers,250000,0.0575,12760.0
MD,single_filers,150000,0.055,7260.0
MD,single_filers,125000,0.0525,5947.5
MD,single_filers,100000,0.05,4697.5
MD,single_filers,3000,0.0475,90.0
MD,single_filers,2000,0.04,50.0
MD,single_filers,1000,0.03,20.0
MD,single_filers,0,0.02,0.0
ME,married_filing_jointly,41850,0.0795,2041.0
ME,married_filing_jointly,10450,0.065,0.0
ME,single_filers,20900,0.0795,1020.5
ME,single_filers,5200,0.065,0.0
MI,married_filing_jointly,0,0.0425,0.0
MI,single_filers,0,0.0425,0.0
MN,married_filing_jointly,254240,0.0985,18197.68
MN,married_filing_jointly,143350,0.0785,9492.82
MN,married_filing_jointly,36080,0.0705,1930.28
MN,married_filing_jointly,0,0.0535,0.0
MN,single_filers,152540,0.0985,10906.19
MN,single_filers,81080,0.0785,5296.58
MN,single_filers,24680,0.0705,1320.38
MN,single_filers,0,0.0535,0.0
MO,married_filing_jointly,9000,0.06,315.0
MO,married_filing_jointly,8000,0.055,260.0
MO,married_filing_jointly,7000,0.05,210.0
MO,married_filing_jointly,6000,0.045,165.0
MO,married_filing_jointly,5000,0.04,125.0
MO,married_filing_jointly,4000,0.035,90.0
MO,married_filing_jointly,3000,0.03,60.0
MO,married_filing_jointly,2000,0.025,35.0
MO,married_filing_jointly,1000,0.02,15.0
MO,married_filing_jointly,0,0.015,0.0
MO,single_filers,9000,0.06,315.0
MO,single_filers,8000,0.055,260.0
MO,single_filers,7000,0.05,210.0
MO,single_filers,6000,0.045,165.0
MO,single_filers,5000,0.04,125.0
MO,single_filers,4000,0.035,90.0
MO,single_filers,3000,0.03,60.0
MO,single_filers,2000,0.025,35.0
MO,single_filers,1000,0.02,15.0
MO,single_filers,0,0.015,0.0
MS,married_filing_jointly,10000,0.05,350.0
MS,married_filing_jointly,5000,0.04,150.0
MS,married_filing_jointly,0,0.03,0.0
MS,single_filers,10000,0.05,350.0
MS,single_filers,5000,0.04,150.0
MS,single_filers,0,0.03,0.0
MT,married_filing_jointly,16700,0.069,620.0
MT,married_filing_jointly,13000,0.06,398.0
MT,married_filing_jointly,10100,0.05,253.0
MT,married_filing_jointly,7400,0.04,145.0
MT,married_filing_jointly,4900,0.03,70.0
MT,married_filing_jointly,2800,0.02,28.0
MT,married_filing_jointly,0,0.01,0.0
MT,single_filers,16700,0.069,620.0
MT,single_filers,13000,0.06,398.0
MT,single_filers,10100,0.05,253.0
MT,single_filers,7400,0.04,145.0
MT,single_filers,4900,0.03,70.0
MT,single_filers,2800,0.02,28.0
MT,single_filers,0,0.01,0.0
NC,married_filing_jointly,100000,0.0775,6787.5
NC,married_filing_jointly,21250,0.07,1275.0
NC,married_filing_jointly,0,0.06,0.0
NC,single_filers,60000,0.0775,4072.5
NC,single_filers,12750,0.07,765.0
NC,single_filers,0,0.06,0.0
ND,married_filing_jointly,388350,0.0399,11793.28
ND,married_filing_jointly,217450,0.0363,5589.61
ND,married_filing_jointly,142700,0.0313,3249.93
ND,married_filing_jointly,59100,0.0282,892.41
ND,married_filing_jointly,0,0.0151,0.0
ND,single_filers,388350,0.0399,12475.26
ND,single_filers,178650,0.0363,4863.15
ND,single_filers,85650,0.0313,1952.25
ND,single_filers,35350,0.0282,533.79
ND,single_filers,0,0.0151,0.0
NE,married_filing_jointly,58000,0.0684,2302.8
NE,married_filing_jointly,36000,0.0501,1200.6
NE,married_filing_jointly,6000,0.0351,147.6
NE,married_filing_jointly,0,0.0246,0.0
NE,single_filers,29000,0.0684,1151.4
NE,single_filers,18000,0.0501,600.3
NE,single_filers,3000,0.0351,73.8
NE,single_filers,0,0.0246,0.0
NH,married_filing_jointly,0,0.0,0.0
NH,single_filers,0,0.0,0.0
NJ,married_filing_jointly,500000,0.0897,27807.5
NJ,married_filing_jointly,150000,0.0637,5512.5
NJ,married_filing_jointly,80000,0.05525,1645.0
NJ,married_filing_jointly,70000,0.035,1295.0
NJ,married_filing_jointly,50000,0.0245,805.0
NJ,married_filing_jointly,20000,0.0175,280.0
NJ,married_filing_jointly,0,0.014,0.0
NJ,single_filers,500000,0.0897,29723.75
NJ,single_filers,75000,0.0637,2651.25
NJ,single_filers,40000,0.05525,717.5
NJ,single_filers,35000,0.035,542.5
NJ,single_filers,20000,0.0175,280.0
NJ,single_filers,0,0.014,0.0
NM,married_filing_jointly,24000,0.049,768.0
NM,married_filing_jointly,16000,0.047,392.0
NM,married_filing_jointly,8000,0.032,136.0
NM,married_filing_jointly,0,0.017,0.0
NM,single_filers,16000,0.049,504.5
NM,single_filers,11000,0.047,269.5
NM,single_filers,5500,0.032,93.5
NM,single_filers,0,0.017,0.0
NV,married_filing_jointly,0,0.0,0.0
NV,single_filers,0,0.0,0.0
NY,married_filing_jointly,0,0.04,0.0
NY,married_filing_jointly,0,0.0525,0.0
NY,married_filing_jointly,0,0.0685,0.0
NY,married_filing_jointly,0,0.0665,0.0
NY,married_filing_jointly,0,0.045,0.0
NY,married_filing_jointly,0,0.059,0.0
NY,married_filing_jointly,0,0.0645,0.0
NY,married_filing_jointly,0,0.0882,0.0
NY,single_filers,1000000,0.0882,67633.0
NY,single_filers,200000,0.0685,12833.0
NY,single_filers,75000,0.0665,4520.5
NY,single_filers,20000,0.0645,973.0
NY,single_filers,13000,0.059,560.0
NY,single_filers,11000,0.0525,455.0
NY,single_filers,8000,0.045,320.0
NY,single_filers,0,0.04,0.0
OH,married_filing_jointly,208500,0.0539,8674.4
OH,married_filing_jointly,104250,0.0499,3472.32
OH,married_filing_jointly,83350,0.043,2573.62
OH,married_filing_jointly,41700,0.0376,1007.58
OH,married_filing_jointly,20900,0.0322,337.82
OH,married_filing_jointly,15650,0.0269,196.6
OH,married_filing_jointly,10400,0.0215,83.72
OH,married_filing_jointly,5200,0.0107,28.08
OH,married_filing_jointly,0,0.0054,0.0
OH,single_filers,208500,0.0539,8674.4
OH,single_filers,104250,0.0499,3472.32
OH,single_filers,83350,0.043,2573.62
OH,single_filers,41700,0.0376,1007.58
OH,single_filers,20900,0.0322,337.82
OH,single_filers,15650,0.0269,196.6
OH,single_filers,10400,0.0215,83.72
OH,single_filers,5200,0.0107,28.08
OH,single_filers,0,0.0054,0.0
OK,married_filing_jointly,15000,0.0525,395.0
OK,married_filing_jointly,12200,0.05,255.0
OK,married_filing_jointly,9800,0.04,159.0
OK,married_filing_jointly,7500,0.03,90.0
OK,married_filing_jointly,5000,0.02,40.0
OK,married_filing_jointly,2000,0.01,10.0
OK,married_filing_jointly,0,0.005,0.0
OK,single_filers,8700,0.0525,246.5
OK,single_filers,7200,0.05,171.5
OK,single_filers,4900,0.04,79.5
OK,single_filers,3750,0.03,45.0
OK,single_filers,2500,0.02,20.0
OK,single_filers,1000,0.01,5.0
OK,single_filers,0,0.005,0.0
OR,married_filing_jointly,250000,0.099,22044.0
OR,married_filing_jointly,16300,0.09,1011.0
OR,married_filing_jointly,6500,0.07,325.0
OR,married_filing_jointly,0,0.05,0.0
OR,single_filers,125000,0.099,11019.0
OR,single_filers,8250,0.09,511.5
OR,single_filers,3300,0.07,165.0
OR,single_filers,0,0.05,0.0
PA,married_filing_jointly,0,0.0307,0.0
PA,single_filers,0,0.0307,0.0
RI,married_filing_jointly,129900,0.0599,5598.75
RI,married_filing_jointly,57150,0.0475,2143.13
RI,married_filing_jointly,0,0.0375,0.0
RI,single_filers,129900,0.0599,5598.75
RI,single_filers,57150,0.0475,2143.13
RI,single_filers,0,0.0375,0.0
SC,married_filing_jointly,14000,0.07,504.0
SC,married_filing_jointly,11200,0.06,336.0
SC,married_filing_jointly,8400,0.05,196.0
SC,married_filing_jointly,5600,0.04,84.0
SC,married_filing_jointly,2800,0.03,0.0
SC,single_filers,14000,0.07,504.0
SC,single_filers,11200,0.06,336.0
SC,single_filers,8400,0.05,196.0
SC,single_filers,5600,0.04,84.0
SC,single_filers,2800,0.03,0.0
SC,single_filers,0,0.0,0.0
SD,married_filing_jointly,0,0.0,0.0
SD,single_filers,0,0.0,0.0
TN,married_filing_jointly,0,0.06,0.0
TN,single_filers,0,0.06,0.0
TX,married_filing_jointly,0,0.0,0.0
TX,single_filers,0,0.0,0.0
UT,married_filing_jointly,0,0.05,0.0
UT,single_filers,0,0.05,0.0
VA,married_filing_jointly,17000,0.0575,720.0
VA,married_filing_jointly,5000,0.05,120.0
VA,married_filing_jointly,3000,0.03,60.0
VA,married_filing_jointly,0,0.02,0.0
VA,single_filers,17000,0.0575,720.0
VA,single_filers,5000,0.05,120.0
VA,single_filers,3000,0.03,60.0
VA,single_filers,0,0.02,0.0
VT,married_filing_jointly,405100,0.0895,29493.3
VT,married_filing_jointly,226850,0.088,13807.3
VT,married_filing_jointly,148850,0.078,7723.3
